project,url,entity type,body,entity,notes
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/16544#issuecomment-373821620,branch_name,@BerkeleyTrue Alex's efforts are worth testing and hence we should get this into a branch other than staging for now.,staging,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/16544#issuecomment-375688874,branch_name,"@alexch I have a PR open on your branch, it pulls in the latest changes on staging also",staging,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/40518#issue-773051766,branch_name,"Checklist:
I have read freeCodeCamp's contribution guidelines.
My pull request has a descriptive title (not a vague title like Update index.md)
My pull request targets the master branch of freeCodeCamp.
All the files I changed are in the same world language, for example: only English changes, or only Chinese changes, etc.
I am not sure why this has not been implemented yet, as the groundwork was already there. So, this PR just adds any assertion errors to the user-visible console.
The reason the .md file is included in this PR, is to, hopefully, show a best case scenario of, well-written tests, combined with decent error handling - How informative it can be.",master,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/43429#issue-992956585,branch_name,"Checklist:
I have read freeCodeCamp's contribution guidelines.
My pull request has a descriptive title (not a vague title like Update index.md)
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #43427",main,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/issues/42256#issuecomment-871621658,branch_name,📢 Please target all further PRs to the main branch.,main,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/issues/16358#issuecomment-354344617,branch_name,"Update: after some investigation by one of our campers, it seems the staging branch fixes the issue but has not been ported over to beta.",staging,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/35033#issuecomment-477307223,branch_name,"@Fordco What I'd suggest you do is pull a fresh copy of the latest master branch, make your changes on that fresh copy and push it here",master,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/43429#issue-992956585,branch_name,"Checklist:
I have read freeCodeCamp's contribution guidelines.
My pull request has a descriptive title (not a vague title like Update index.md)
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #43427",main,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/36366#issue-463220290,branch_name,"new solution addresses the possibility of first letter of arg ""before"" being lower case and needing to change the first letter of ""after"" from capital to lowercase
solution more streamlined
added resource to help with regular expressions
I have read freeCodeCamp's contribution guidelines.
My pull request has a descriptive title (not a vague title like Update index.md)
My pull request targets the master branch of freeCodeCamp.
None of my changes are plagiarized from another source without proper attribution.
All the files I changed are in the same world language (for example: only English changes, or only Chinese changes, etc.)
My changes do not use shortened URLs or affiliate links.
Closes #XXXXX",master,
freeCodeCamp/freeCodeCamp/,https://github.com/freeCodeCamp/freeCodeCamp/pull/9740#issue-165833421,branch_name,"Pre-Submission Checklist
Your pull request targets the staging branch of FreeCodeCamp.
Branch starts with either fix/, feature/, or translate/ (e.g. fix/signin-issue)
You have only one commit (if not, squash them into one commit).
All new and existing tests pass the command npm run test-challenges. Use git commit --amend to amend any fixes.",fix/signin-issue,
